00000001 // 1
00000010 // 2
00000011 // 3
00000100 // 4
00000101 // 5
00000110 // 6
00000111 // 7
00001000 // 8
00001001 // 9
00001010 // 10
00110011 // 51
00110100 // 52
00110101 // 53
00110110 // 54
00110111 // 55
00111000 // 56
00111001 // 57
00111010 // 58
00111011 // 59
00111100 // 60
00001011 // 11
00001100 // 12
00001101 // 13
00001110 // 14
00001111 // 15
00010000 // 16
00010001 // 17
00010010 // 18
00010011 // 19
00010100 // 20
00111101 // 61
00111110 // 62
00111111 // 63
01000000 // 64
01000001 // 65
01000010 // 66
01000011 // 67
01000100 // 68
01000101 // 69
01000110 // 70
00010101 // 21
00010110 // 22
00010111 // 23
00011000 // 24
00011001 // 25
00011010 // 26
00011011 // 27
00011100 // 28
00011101 // 29
00011110 // 30
01000111 // 71
01001000 // 72
01001001 // 73
01001010 // 74
01001011 // 75
01001100 // 76
01001101 // 77
01001110 // 78
01001111 // 79
01010000 // 80
00011111 // 31
00100000 // 32
00100001 // 33
00100010 // 34
00100011 // 35
00100100 // 36
00100101 // 37
00100110 // 38
00100111 // 39
00101000 // 40
01010001 // 81
01010010 // 82
01010011 // 83
01010100 // 84
01010101 // 85
01010110 // 86
01010111 // 87
01011000 // 88
01011001 // 89
01011010 // 90
00101001 // 41
00101010 // 42
00101011 // 43
00101100 // 44
00101101 // 45
00101110 // 46
00101111 // 47
00110000 // 48
00110001 // 49
00110010 // 50
01011011 // 91
01011100 // 92
01011101 // 93
01011110 // 94
01011111 // 95
01100000 // 96
01100001 // 97
01100010 // 98
01100011 // 99
01100100 // 100
